M1,Крабовидная туманность,Supernova Remnant,5.575,22.017,8.4,Телец,6500,6.0
M67,Рассеянное скопление,Open Cluster,8.855,11.817,6.1,Рак,2700,30.0
M68,Шаровое скопление,Globular Cluster,12.656,-26.75,8.2,Гидра,33600,11.0
M69,Шаровое скопление,Globular Cluster,18.525,-32.35,7.7,Стрелец,29700,10.0
M70,Шаровое скопление,Globular Cluster,18.721,-32.3,8.1,Стрелец,29400,8.0
M71,Шаровое скопление,Globular Cluster,19.897,18.783,8.2,Стрела,13000,7.0
M72,Шаровое скопление,Globular Cluster,20.893,-12.533,9.4,Водолей,55400,6.0
M73,Астеризм,Asterism,20.978,-12.633,9.0,Водолей,2500,3.0
M74,Спиральная галактика,Galaxy,1.61,15.783,9.4,Рыбы,32000000,10.0
M75,Шаровое скопление,Globular Cluster,20.106,-21.917,8.6,Стрелец,67500,7.0
M76,Туманность Маленькая Гантель,Planetary Nebula,1.703,51.575,10.1,Персей,2500,2.0
M77,Спиральная галактика,Galaxy,2.715,-0.013,8.9,Кит,47000000,7.0
M78,Отражательная туманность,Nebula,5.78,0.083,8.3,Орион,1600,8.0
M79,Шаровое скопление,Globular Cluster,5.403,-24.517,8.0,Заяц,41000,9.0
M80,Шаровое скопление,Globular Cluster,16.284,-22.983,7.3,Скорпион,32600,10.0
M81,Галактика Боде,Galaxy,9.928,69.065,6.9,Большая Медведица,12000000,26.0
M82,Галактика Сигара,Galaxy,9.932,69.68,8.4,Большая Медведица,12000000,11.0
M83,Южная Вертушка,Galaxy,13.617,-29.867,7.5,Гидра,15000000,12.0
M84,Линзовидная галактика,Galaxy,12.418,12.883,9.1,Дева,60000000,6.0
M85,Линзовидная галактика,Galaxy,12.423,18.183,9.1,Волосы Вероники,60000000,7.0
M86,Эллиптическая галактика,Galaxy,12.435,12.95,8.9,Дева,52000000,9.0
M87,Галактика Дева A,Galaxy,12.513,12.383,8.6,Дева,53000000,8.0
M88,Спиральная галактика,Galaxy,12.532,14.417,9.6,Волосы Вероники,47000000,7.0
M89,Эллиптическая галактика,Galaxy,12.595,12.55,9.8,Дева,50000000,5.0
M90,Спиральная галактика,Galaxy,12.614,13.163,9.5,Дева,59000000,9.0
M91,Спиральная галактика,Galaxy,12.593,14.497,10.2,Волосы Вероники,63000000,5.0
M92,Шаровое скопление,Globular Cluster,17.285,43.133,6.4,Геркулес,26700,14.0
M93,Рассеянное скопление,Open Cluster,7.741,-23.867,6.0,Корма,3600,22.0
M94,Спиральная галактика,Galaxy,12.847,41.117,8.2,Гончие Псы,16000000,11.0
M95,Спиральная галактика,Galaxy,10.732,11.703,9.7,Лев,38000000,7.0
M96,Спиральная галактика,Galaxy,10.779,11.82,9.2,Лев,34000000,7.0
M97,Туманность Сова,Planetary Nebula,11.247,55.018,9.9,Большая Медведица,2600,3.0
M98,Спиральная галактика,Galaxy,12.23,14.9,10.1,Волосы Вероники,44000000,9.0
M99,Спиральная галактика,Galaxy,12.315,14.417,9.9,Волосы Вероники,45000000,5.0
M100,Спиральная галактика,Galaxy,12.382,15.823,9.3,Волосы Вероники,55000000,7.0
M101,Галактика Вертушка,Galaxy,14.053,54.35,7.9,Большая Медведица,21000000,28.0
M102,Линзовидная галактика,Galaxy,15.107,55.763,9.9,Дракон,50000000,6.0
M103,Рассеянное скопление,Open Cluster,1.555,60.658,7.4,Кассиопея,10000,6.0
M104,Галактика Сомбреро,Galaxy,12.667,-11.623,8.0,Дева,28000000,9.0
M105,Эллиптическая галактика,Galaxy,10.798,12.583,9.3,Лев,32000000,5.0
M106,Спиральная галактика,Galaxy,12.315,47.3,8.4,Гончие Псы,25000000,18.0
M107,Шаровое скопление,Globular Cluster,16.54,-13.05,8.1,Змееносец,20900,13.0
M108,Спиральная галактика,Galaxy,11.193,55.673,10.0,Большая Медведица,45000000,8.0
M109,Спиральная галактика,Galaxy,11.961,53.374,9.8,Большая Медведица,55000000,7.0
M110,Эллиптическая галактика,Galaxy,0.673,41.685,8.1,Андромеда,2500000,19.0


